db_reference|evidence|label|qualifier|source|source_id|source_type|source_url|target_id|target_type
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6h7|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6h8|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6h9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6i0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6i1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6i3|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6i4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6i6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6i7|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6i9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6j1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6j2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6j6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6j9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6k0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6k2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6k4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6k5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6k6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6l2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0042101|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6l6|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0042101|cellular_component
"[""PMID:21081917""]"|IDA|part_of|"[""part_of""]"|GO|a0a075b6n1|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0042105|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6n2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0042101|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6n3|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0042101|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6n4|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0042101|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6p5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6q5|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6r0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0042101|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6r2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6r9|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6s0|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0042101|cellular_component
"[""GO_REF:0000043""]"|IEA|part_of|"[""part_of""]"|GO|a0a075b6s2|protein|http://geneontology.org/gene-associations/goa_human.gaf.gz|go_0019814|cellular_component
